experiment,instrument,family,is_selected_family,threshold,n,accuracy,precision,recall,f1,avg_precision,brier,log_loss,roc_auc,tn,fp,fn,tp
+ signal_history,rb1s,random_forest,0,0.65,123.0,0.34959349593495936,0.0,0.0,0.0,0.7801494599106539,0.28152714901575,0.7617738720993869,0.6994186046511628,43.0,0.0,80.0,0.0
+ signal_history,rb1s,random_forest,0,0.7,123.0,0.34959349593495936,0.0,0.0,0.0,0.7801494599106539,0.28152714901575,0.7617738720993869,0.6994186046511628,43.0,0.0,80.0,0.0
+ signal_history,rb1s,extra_trees,0,0.5,123.0,0.6829268292682927,0.847457627118644,0.625,0.7194244604316546,0.8051997898179863,0.2516085523731944,0.6995119855404617,0.6665697674418605,34.0,9.0,30.0,50.0
+ signal_history,rb1s,extra_trees,0,0.55,123.0,0.3902439024390244,1.0,0.0625,0.11764705882352941,0.8051997898179863,0.2516085523731944,0.6995119855404617,0.6665697674418605,43.0,0.0,75.0,5.0
+ signal_history,rb1s,extra_trees,0,0.6,123.0,0.34959349593495936,0.0,0.0,0.0,0.8051997898179863,0.2516085523731944,0.6995119855404617,0.6665697674418605,43.0,0.0,80.0,0.0
+ signal_history,rb1s,extra_trees,0,0.65,123.0,0.34959349593495936,0.0,0.0,0.0,0.8051997898179863,0.2516085523731944,0.6995119855404617,0.6665697674418605,43.0,0.0,80.0,0.0
+ signal_history,rb1s,extra_trees,0,0.7,123.0,0.34959349593495936,0.0,0.0,0.0,0.8051997898179863,0.2516085523731944,0.6995119855404617,0.6665697674418605,43.0,0.0,80.0,0.0
+ signal_history,rb1s,hist_gradient_boosting,0,0.5,123.0,0.5203252032520326,0.8,0.35,0.48695652173913045,0.7739651232701595,0.3159749827649574,0.887450631697742,0.6825581395348838,36.0,7.0,52.0,28.0
+ signal_history,rb1s,hist_gradient_boosting,0,0.55,123.0,0.4959349593495935,0.8214285714285714,0.2875,0.42592592592592593,0.7739651232701595,0.3159749827649574,0.887450631697742,0.6825581395348838,38.0,5.0,57.0,23.0
+ signal_history,rb1s,hist_gradient_boosting,0,0.6,123.0,0.4878048780487805,0.84,0.2625,0.4,0.7739651232701595,0.3159749827649574,0.887450631697742,0.6825581395348838,39.0,4.0,59.0,21.0
+ signal_history,rb1s,hist_gradient_boosting,0,0.65,123.0,0.4065040650406504,0.7692307692307693,0.125,0.21505376344086022,0.7739651232701595,0.3159749827649574,0.887450631697742,0.6825581395348838,40.0,3.0,70.0,10.0
+ signal_history,rb1s,hist_gradient_boosting,0,0.7,123.0,0.36585365853658536,0.75,0.0375,0.07142857142857142,0.7739651232701595,0.3159749827649574,0.887450631697742,0.6825581395348838,42.0,1.0,77.0,3.0
+ signal_history,rb1s,adaboost,1,0.5,123.0,0.3333333333333333,0.4166666666666667,0.0625,0.10869565217391304,0.7223721907625302,0.3376070243928776,0.8904495657156163,0.6196220930232558,36.0,7.0,75.0,5.0
+ signal_history,rb1s,adaboost,1,0.55,123.0,0.34959349593495936,0.0,0.0,0.0,0.7223721907625302,0.3376070243928776,0.8904495657156163,0.6196220930232558,43.0,0.0,80.0,0.0
