experiment,instrument,family,params,validation_threshold,selection_score,validation_n,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_avg_precision,validation_brier,validation_log_loss,validation_roc_auc,validation_tn,validation_fp,validation_fn,validation_tp,validation_tuned_n,validation_tuned_threshold,validation_tuned_accuracy,validation_tuned_precision,validation_tuned_recall,validation_tuned_f1,validation_tuned_avg_precision,validation_tuned_brier,validation_tuned_log_loss,validation_tuned_roc_auc,validation_tuned_tn,validation_tuned_fp,validation_tuned_fn,validation_tuned_tp,n_train,n_validation,selected_family,is_selected
baseline,nq1s,logistic,"{""C"": 0.1}",0.5,0.41148190045248867,120.0,0.5416666666666666,0.5619047619047619,0.8676470588235294,0.6820809248554913,0.5123387552366229,0.3264569061000644,0.9168948190094652,0.41148190045248867,6.0,46.0,9.0,59.0,120.0,0.31,0.575,0.5752212389380531,0.9558823529411765,0.7182320441988951,0.5123387552366229,0.3264569061000644,0.9168948190094652,0.41148190045248867,4.0,48.0,3.0,65.0,351,120,hist_gradient_boosting,0
baseline,nq1s,logistic,"{""C"": 1.0}",0.5,0.4270361990950226,120.0,0.5333333333333333,0.5588235294117647,0.8382352941176471,0.6705882352941176,0.5351556616392585,0.33929131223275694,0.9853285962856331,0.4270361990950226,7.0,45.0,11.0,57.0,120.0,0.35,0.575,0.5765765765765766,0.9411764705882353,0.7150837988826816,0.5351556616392585,0.33929131223275694,0.9853285962856331,0.4270361990950226,5.0,47.0,4.0,64.0,351,120,hist_gradient_boosting,0
baseline,nq1s,random_forest,"{""max_depth"": 3, ""max_features"": ""sqrt"", ""min_samples_leaf"": 8, ""n_estimators"": 300}",0.5,0.41402714932126694,120.0,0.525,0.5544554455445545,0.8235294117647058,0.6627218934911243,0.528664875201843,0.2613087708817757,0.7177264304085423,0.41402714932126694,7.0,45.0,12.0,56.0,120.0,0.43,0.5833333333333334,0.5775862068965517,0.9852941176470589,0.7282608695652174,0.528664875201843,0.2613087708817757,0.7177264304085423,0.41402714932126694,3.0,49.0,1.0,67.0,351,120,hist_gradient_boosting,0
baseline,nq1s,random_forest,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 12, ""n_estimators"": 300}",0.5,0.4968891402714932,120.0,0.5416666666666666,0.5656565656565656,0.8235294117647058,0.6706586826347305,0.5739207020938859,0.25649181927364045,0.7074239669913704,0.4968891402714932,9.0,43.0,12.0,56.0,120.0,0.39,0.5833333333333334,0.576271186440678,1.0,0.7311827956989247,0.5739207020938859,0.25649181927364045,0.7074239669913704,0.4968891402714932,2.0,50.0,0.0,68.0,351,120,hist_gradient_boosting,0
baseline,nq1s,extra_trees,"{""max_depth"": 3, ""max_features"": ""sqrt"", ""min_samples_leaf"": 8, ""n_estimators"": 300}",0.5,0.392816742081448,120.0,0.5166666666666667,0.5490196078431373,0.8235294117647058,0.6588235294117647,0.4839201669499481,0.2642985797710158,0.7233347784429434,0.392816742081448,6.0,46.0,12.0,56.0,120.0,0.33999999999999997,0.575,0.5714285714285714,1.0,0.7272727272727273,0.4839201669499481,0.2642985797710158,0.7233347784429434,0.392816742081448,1.0,51.0,0.0,68.0,351,120,hist_gradient_boosting,0
baseline,nq1s,extra_trees,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 12, ""n_estimators"": 300}",0.5,0.43834841628959276,120.0,0.5083333333333333,0.5445544554455446,0.8088235294117647,0.650887573964497,0.513374242477847,0.2667276213438219,0.7293796895343173,0.43834841628959276,6.0,46.0,13.0,55.0,120.0,0.33,0.575,0.5714285714285714,1.0,0.7272727272727273,0.513374242477847,0.2667276213438219,0.7293796895343173,0.43834841628959276,1.0,51.0,0.0,68.0,351,120,hist_gradient_boosting,0
baseline,nq1s,hist_gradient_boosting,"{""l2_regularization"": 0.1, ""learning_rate"": 0.03, ""max_iter"": 120, ""max_leaf_nodes"": 7}",0.5,0.5395927601809954,120.0,0.55,0.574468085106383,0.7941176470588235,0.6666666666666666,0.6119439457851827,0.27353527415829293,0.7570424340917897,0.5395927601809954,12.0,40.0,14.0,54.0,120.0,0.25,0.6,0.5862068965517241,1.0,0.7391304347826086,0.6119439457851827,0.27353527415829293,0.7570424340917897,0.5395927601809954,4.0,48.0,0.0,68.0,351,120,hist_gradient_boosting,0
baseline,nq1s,hist_gradient_boosting,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_iter"": 120, ""max_leaf_nodes"": 15}",0.5,0.5463800904977376,120.0,0.525,0.5567010309278351,0.7941176470588235,0.6545454545454545,0.628017239226351,0.31545286791525595,0.9038014882215052,0.5463800904977376,9.0,43.0,14.0,54.0,120.0,0.25,0.575,0.5752212389380531,0.9558823529411765,0.7182320441988951,0.628017239226351,0.31545286791525595,0.9038014882215052,0.5463800904977376,4.0,48.0,3.0,65.0,351,120,hist_gradient_boosting,1
baseline,nq1s,adaboost,"{""learning_rate"": 0.05, ""n_estimators"": 120}",0.5,0.40229072398190047,120.0,0.5166666666666667,0.5490196078431373,0.8235294117647058,0.6588235294117647,0.5035756858998311,0.31952187689659367,0.881841969840538,0.40229072398190047,6.0,46.0,12.0,56.0,120.0,0.25,0.5833333333333334,0.576271186440678,1.0,0.7311827956989247,0.5035756858998311,0.31952187689659367,0.881841969840538,0.40229072398190047,2.0,50.0,0.0,68.0,351,120,hist_gradient_boosting,0
baseline,nq1s,mlp,"{""alpha"": 0.001, ""hidden_layer_sizes"": [24], ""learning_rate_init"": 0.001}",0.5,0.42081447963800905,120.0,0.6083333333333333,0.5963302752293578,0.9558823529411765,0.7344632768361582,0.5019191088261616,0.29182032523446794,0.8162089725372591,0.42081447963800905,8.0,44.0,3.0,65.0,120.0,0.42000000000000004,0.6,0.5877192982456141,0.9852941176470589,0.7362637362637363,0.5019191088261616,0.29182032523446794,0.8162089725372591,0.42081447963800905,5.0,47.0,1.0,67.0,351,120,hist_gradient_boosting,0
baseline,fesx1s,logistic,"{""C"": 0.1}",0.5,0.5975922131147541,125.0,0.592,0.6226415094339622,0.515625,0.5641025641025641,0.5583214622043947,0.25814426653002304,0.7246643707275787,0.5975922131147541,41.0,20.0,31.0,33.0,125.0,0.26,0.568,0.5454545454545454,0.9375,0.6896551724137931,0.5583214622043947,0.25814426653002304,0.7246643707275787,0.5975922131147541,11.0,50.0,4.0,60.0,375,125,extra_trees,0
baseline,fesx1s,logistic,"{""C"": 1.0}",0.5,0.6001536885245902,125.0,0.592,0.6226415094339622,0.515625,0.5641025641025641,0.5624894898400581,0.26620541920837926,0.7564480512451118,0.6001536885245902,41.0,20.0,31.0,33.0,125.0,0.27,0.584,0.5625,0.84375,0.675,0.5624894898400581,0.26620541920837926,0.7564480512451118,0.6001536885245902,19.0,42.0,10.0,54.0,375,125,extra_trees,0
baseline,fesx1s,random_forest,"{""max_depth"": 3, ""max_features"": ""sqrt"", ""min_samples_leaf"": 8, ""n_estimators"": 300}",0.5,0.5532786885245902,125.0,0.608,0.6595744680851063,0.484375,0.5585585585585585,0.5526661776187755,0.24972839878709416,0.6928411947861204,0.5532786885245902,45.0,16.0,33.0,31.0,125.0,0.38,0.528,0.5206611570247934,0.984375,0.6810810810810811,0.5526661776187755,0.24972839878709416,0.6928411947861204,0.5532786885245902,3.0,58.0,1.0,63.0,375,125,extra_trees,0
baseline,fesx1s,random_forest,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 12, ""n_estimators"": 300}",0.5,0.5655737704918032,125.0,0.56,0.5818181818181818,0.5,0.5378151260504201,0.5493523219950206,0.2501532287802089,0.6944264934901547,0.5655737704918032,38.0,23.0,32.0,32.0,125.0,0.38,0.544,0.5299145299145299,0.96875,0.6850828729281768,0.5493523219950206,0.2501532287802089,0.6944264934901547,0.5655737704918032,6.0,55.0,2.0,62.0,375,125,extra_trees,0
