experiment,instrument,asset_class,family,params,is_selected_family,selected_threshold,validation_score,n_train,n_validation,n_test,oos_n,oos_threshold,oos_accuracy,oos_precision,oos_recall,oos_f1,oos_avg_precision,oos_brier,oos_log_loss,oos_roc_auc,oos_tn,oos_fp,oos_fn,oos_tp,oos_05_n,oos_05_threshold,oos_05_accuracy,oos_05_precision,oos_05_recall,oos_05_f1,oos_05_avg_precision,oos_05_brier,oos_05_log_loss,oos_05_roc_auc,oos_05_tn,oos_05_fp,oos_05_fn,oos_05_tp,baseline_n,baseline_threshold,baseline_accuracy,baseline_precision,baseline_recall,baseline_f1,baseline_avg_precision,baseline_brier,baseline_log_loss,baseline_roc_auc,baseline_tn,baseline_fp,baseline_fn,baseline_tp,baseline_mean_side_return,baseline_total_side_return,meta_trade_rate,meta_mean_side_return_when_taken,meta_total_side_return_when_taken
baseline + side_adjusted,si1s,metals,extra_trees,"{""max_depth"": 3, ""max_features"": ""sqrt"", ""min_samples_leaf"": 8, ""n_estimators"": 300}",0,0.25,0.5054723502304148,457,118,114,114.0,0.25,0.4649122807017544,0.4649122807017544,1.0,0.6347305389221557,0.5807796141787307,0.24306276673910934,0.6790370929309776,0.5861429013300341,0.0,61.0,0.0,53.0,114.0,0.5,0.5175438596491229,0.48148148148148145,0.49056603773584906,0.48598130841121495,0.5807796141787307,0.24306276673910934,0.6790370929309776,0.5861429013300341,33.0,28.0,27.0,26.0,114.0,0.5,0.4649122807017544,0.4649122807017544,1.0,0.6347305389221557,0.4649122807017544,0.5350877192982456,19.286516287159174,0.5,0.0,61.0,0.0,53.0,-0.0023472466561628353,-0.2675861188025632,1.0,-0.0023472466561628353,-0.2675861188025632
baseline + side_adjusted,si1s,metals,hist_gradient_boosting,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_iter"": 120, ""max_leaf_nodes"": 15}",0,0.26,0.4472926267281106,457,118,114,114.0,0.26,0.5175438596491229,0.4852941176470588,0.6226415094339622,0.5454545454545454,0.5353001236820515,0.3013757969558178,0.8450528970754169,0.5310856789359728,26.0,35.0,20.0,33.0,114.0,0.5,0.5263157894736842,0.4864864864864865,0.33962264150943394,0.4,0.5353001236820515,0.3013757969558178,0.8450528970754169,0.5310856789359728,42.0,19.0,35.0,18.0,114.0,0.5,0.4649122807017544,0.4649122807017544,1.0,0.6347305389221557,0.4649122807017544,0.5350877192982456,19.286516287159174,0.5,0.0,61.0,0.0,53.0,-0.0023472466561628353,-0.2675861188025632,0.5964912280701754,-0.0009633319194463315,-0.06550657052235054
baseline + side_adjusted,si1s,metals,adaboost,"{""learning_rate"": 0.05, ""n_estimators"": 120}",0,0.41000000000000003,0.5057603686635945,457,118,114,114.0,0.41000000000000003,0.4649122807017544,0.4649122807017544,1.0,0.6347305389221557,0.5276222992049264,0.25001369093527953,0.6934898876092116,0.5550572223940613,0.0,61.0,0.0,53.0,114.0,0.5,0.5175438596491229,0.4891304347826087,0.8490566037735849,0.6206896551724138,0.5276222992049264,0.25001369093527953,0.6934898876092116,0.5550572223940613,14.0,47.0,8.0,45.0,114.0,0.5,0.4649122807017544,0.4649122807017544,1.0,0.6347305389221557,0.4649122807017544,0.5350877192982456,19.286516287159174,0.5,0.0,61.0,0.0,53.0,-0.0023472466561628353,-0.2675861188025632,1.0,-0.0023472466561628353,-0.2675861188025632
baseline + side_adjusted,si1s,metals,mlp,"{""alpha"": 0.001, ""hidden_layer_sizes"": [24], ""learning_rate_init"": 0.001}",1,0.27,0.550979262672811,457,118,114,114.0,0.27,0.45614035087719296,0.46017699115044247,0.9811320754716981,0.6265060240963856,0.4929024327875354,0.269132929350113,0.735987441570252,0.5289205072687906,0.0,61.0,1.0,52.0,114.0,0.5,0.5263157894736842,0.49295774647887325,0.660377358490566,0.5645161290322581,0.4929024327875354,0.269132929350113,0.735987441570252,0.5289205072687906,25.0,36.0,18.0,35.0,114.0,0.5,0.4649122807017544,0.4649122807017544,1.0,0.6347305389221557,0.4649122807017544,0.5350877192982456,19.286516287159174,0.5,0.0,61.0,0.0,53.0,-0.0023472466561628353,-0.2675861188025632,0.9912280701754386,-0.002616207474319846,-0.2956314445981426
baseline + side_adjusted,hg1s,metals,logistic,"{""C"": 0.1}",0,0.29,0.45380281690140845,497,121,118,118.0,0.29,0.5508474576271186,0.5729166666666666,0.8208955223880597,0.6748466257668712,0.6731932118290195,0.26656552177774756,0.7316318538753159,0.5700907228563067,10.0,41.0,12.0,55.0,118.0,0.5,0.5254237288135594,0.6666666666666666,0.3283582089552239,0.44,0.6731932118290195,0.26656552177774756,0.7316318538753159,0.5700907228563067,40.0,11.0,45.0,22.0,118.0,0.5,0.5677966101694916,0.5677966101694916,1.0,0.7243243243243244,0.5677966101694916,0.4322033898305085,15.578189176652332,0.5,0.0,51.0,0.0,67.0,0.0024103366016741405,0.2844197189975486,0.8135593220338984,0.003525490825086844,0.33844711920833703
baseline + side_adjusted,hg1s,metals,random_forest,"{""max_depth"": 3, ""max_features"": ""sqrt"", ""min_samples_leaf"": 8, ""n_estimators"": 300}",0,0.25,0.4704225352112676,497,121,118,118.0,0.25,0.5677966101694916,0.5677966101694916,1.0,0.7243243243243244,0.7093430255084133,0.24963094856722895,0.692793270722558,0.5917471466198418,0.0,51.0,0.0,67.0,118.0,0.5,0.5508474576271186,0.5945945945945946,0.6567164179104478,0.624113475177305,0.7093430255084133,0.24963094856722895,0.692793270722558,0.5917471466198418,21.0,30.0,23.0,44.0,118.0,0.5,0.5677966101694916,0.5677966101694916,1.0,0.7243243243243244,0.5677966101694916,0.4322033898305085,15.578189176652332,0.5,0.0,51.0,0.0,67.0,0.0024103366016741405,0.2844197189975486,1.0,0.0024103366016741405,0.2844197189975486
baseline + side_adjusted,hg1s,metals,extra_trees,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 12, ""n_estimators"": 300}",0,0.25,0.4490140845070422,497,121,118,118.0,0.25,0.5677966101694916,0.5677966101694916,1.0,0.7243243243243244,0.49493310219013714,0.2650781213626162,0.7249396096503354,0.41527655838454786,0.0,51.0,0.0,67.0,118.0,0.5,0.4915254237288136,0.5432098765432098,0.6567164179104478,0.5945945945945946,0.49493310219013714,0.2650781213626162,0.7249396096503354,0.41527655838454786,14.0,37.0,23.0,44.0,118.0,0.5,0.5677966101694916,0.5677966101694916,1.0,0.7243243243243244,0.5677966101694916,0.4322033898305085,15.578189176652332,0.5,0.0,51.0,0.0,67.0,0.0024103366016741405,0.2844197189975486,1.0,0.0024103366016741405,0.2844197189975486
baseline + side_adjusted,hg1s,metals,hist_gradient_boosting,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_iter"": 120, ""max_leaf_nodes"": 15}",1,0.27,0.5129577464788733,497,121,118,118.0,0.27,0.5677966101694916,0.5754716981132075,0.9104477611940298,0.7052023121387283,0.5482641253486266,0.3149242947505565,0.8644716806519406,0.43137254901960786,6.0,45.0,6.0,61.0,118.0,0.5,0.4745762711864407,0.5324675324675324,0.6119402985074627,0.5694444444444444,0.5482641253486266,0.3149242947505565,0.8644716806519406,0.43137254901960786,15.0,36.0,26.0,41.0,118.0,0.5,0.5677966101694916,0.5677966101694916,1.0,0.7243243243243244,0.5677966101694916,0.4322033898305085,15.578189176652332,0.5,0.0,51.0,0.0,67.0,0.0024103366016741405,0.2844197189975486,0.8983050847457628,0.003520438343464017,0.3731664644071858
baseline + side_adjusted,hg1s,metals,adaboost,"{""learning_rate"": 0.05, ""n_estimators"": 120}",0,0.25,0.47830985915492963,497,121,118,118.0,0.25,0.5508474576271186,0.5603448275862069,0.9701492537313433,0.7103825136612022,0.7497124910906776,0.23608646566253236,0.6653305352912606,0.6660813579163009,0.0,51.0,2.0,65.0,118.0,0.5,0.5847457627118644,0.5957446808510638,0.835820895522388,0.6956521739130435,0.7497124910906776,0.23608646566253236,0.6653305352912606,0.6660813579163009,13.0,38.0,11.0,56.0,118.0,0.5,0.5677966101694916,0.5677966101694916,1.0,0.7243243243243244,0.5677966101694916,0.4322033898305085,15.578189176652332,0.5,0.0,51.0,0.0,67.0,0.0024103366016741405,0.2844197189975486,0.9830508474576272,0.002001437073921228,0.23216670057486244
baseline + side_adjusted,hg1s,metals,mlp,"{""alpha"": 0.001, ""hidden_layer_sizes"": [24], ""learning_rate_init"": 0.001}",0,0.25,0.4726760563380281,497,121,118,118.0,0.25,0.559322033898305,0.5641025641025641,0.9850746268656716,0.717391304347826,0.5287859824861865,0.26793417077088,0.7483815035095693,0.4828797190517999,0.0,51.0,1.0,66.0,118.0,0.5,0.6271186440677966,0.6263736263736264,0.8507462686567164,0.7215189873417721,0.5287859824861865,0.26793417077088,0.7483815035095693,0.4828797190517999,17.0,34.0,10.0,57.0,118.0,0.5,0.5677966101694916,0.5677966101694916,1.0,0.7243243243243244,0.5677966101694916,0.4322033898305085,15.578189176652332,0.5,0.0,51.0,0.0,67.0,0.0024103366016741405,0.2844197189975486,0.9915254237288136,0.0021445922055936375,0.25091728805445557
